page,h,temp,freq/min
5,397529.892,8.6972878586,13
11,397530.092,10.7646900828,10
23,397530.508,14.8618271305,8
57,397531.642,23.0033952573,14
94,397532.842,27.2526143607,19
228,397537.325,29.6691335787,31
304,397539.875,30.4484327175,23
460,397545.058,30.4157931793,18
500,397546.408,30.33729464,18
649,397551.358,30.5096389639,18
