page,h,temp,freq/min
5,397675.158,0.5546470221,9
12,397675.375,1.6742975654,6
42,397676.375,7.3050869141,6
70,397677.308,11.5212742875,7
88,397677.908,15.4279367499,7
107,397678.542,19.0328654026,7
129,397679.292,16.3312115562,7
163,397680.408,23.0056112788,8
193,397681.408,26.4244576389,11
281,397684.358,30.3282563561,25
