page,h,temp,freq/min
1,397625.575,9.1317102128,10
12,397625.925,12.783424935,5
25,397626.358,16.9971046318,6
32,397626.592,18.6551470093,10
48,397627.125,21.4907434579,6
74,397627.992,25.4499602562,6
86,397628.392,27.0531461976,7
105,397629.025,29.2102373608,7
119,397629.492,33.7279980329,8
552,397643.925,37.961672012,21
