page,h,temp,freq/min
2,397648.392,3.4840416525,10
12,397648.708,6.4915379872,8
28,397649.258,9.3943403663,5
68,397650.592,14.2713326046,5
95,397651.475,17.6631606525,7
135,397652.808,18.8200845454,14
154,397653.442,23.1460794762,23
192,397654.725,27.6705855216,26
274,397657.442,30.3846603001,20
670,397670.642,31.3378257361,22
