page,h,temp,freq/min
5,397648.475,4.3796787357,15
24,397649.108,8.3637996094,8
51,397650.008,12.1447080235,8
90,397651.325,17.0717374157,11
105,397651.808,20.0385988669,12
159,397653.592,23.7329766488,13
173,397654.092,25.7660843174,16
330,397659.308,29.6288258074,19
374,397660.775,29.6246764251,19
515,397665.475,30.0268459966,17
