page,h,temp,freq/min
10,397530.092,10.7646900828,7
30,397530.742,17.0265425855,9
51,397531.458,21.9907284405,12
65,397531.925,24.3469314658,13
150,397534.742,24.6072303359,12
173,397535.525,26.8485406208,16
207,397536.642,28.8013828809,13
229,397537.392,29.62390309,13
271,397538.792,30.354724933,21
511,397546.775,30.3558591538,16
