page,h,temp,freq/min
3,397696.708,3.4633049035,18
19,397697.225,5.1258487938,6
36,397697.808,6.9743815873,7
72,397698.992,9.9840917804,7
112,397700.325,13.2038981273,10
140,397701.258,16.5769166577,10
228,397704.208,22.742482708,24
259,397705.225,26.1111644381,32
417,397710.492,32.5796778934,21
604,397716.725,32.8829749419,25
