1431026673.195667,14.27
1431026675.194331,14.34
1431026677.193171,14.38
1431026679.195958,14.33
1431026681.194719,14.46
1431026683.193369,14.16
1431026685.196241,14.28
1431026687.195018,14.23
1431026689.197854,14.41
1431026691.196547,14.34
1431026693.195315,14.52
1431026695.194095,14.65
1431026697.196867,14.73
1431026699.195648,14.72
1431026701.198536,14.77
1431026703.197316,14.74
1431026705.195986,14.69
1431026707.198811,14.60
1431026709.197619,14.58
1431026711.196290,14.89
1431026713.199125,14.69
1431026715.197944,15.01
1431026717.196704,14.54
1431026719.199457,14.84
1431026721.198392,14.69
1431026723.200960,14.76
1431026725.199732,14.70
1431026727.198558,14.89
1431026729.197422,14.70
1431026731.200238,14.61
1431026733.198895,14.80
1431026735.201727,14.76
1431026737.200530,14.57
1431026739.199323,15.03
1431026741.197974,14.75
1431026743.200844,14.85
1431026745.199656,14.63
1431026747.202413,14.76
1431026749.201203,14.81
1431026751.199918,14.90
1431026753.202831,14.68
1431026755.201510,14.88
1431026757.200304,14.75
1431026759.203099,14.81
1431026761.201923,14.84
1431026763.200599,15.02
1431026765.203500,14.86
1431026767.202284,14.73
1431026769.205002,14.82
1431026771.203932,14.93
1431026773.202594,14.88
1431026775.205334,15.06
1431026777.204127,14.99
1431026779.206919,14.92
1431026781.205786,15.03
1431026783.204445,14.85
1431026785.203242,14.88
1431026787.206099,14.97
1431026789.204854,15.08
1431026791.203657,14.94
1431026793.206422,14.84
1431026795.205199,15.08
1431026797.207893,14.97
1431026799.206743,15.07
1431026801.209570,15.04
1431026803.208371,15.15
1431026805.207045,15.03
1431026807.205835,15.05
1431026809.208757,14.99
1431026811.207481,15.18
1431026813.210358,15.06
1431026815.209033,15.19
1431026817.207766,15.25
1431026819.210577,15.30
1431026821.209476,15.14
1431026823.208151,15.07
1431026825.210859,15.28
1431026827.209662,15.15
1431026829.208555,15.28
1431026831.211344,15.20
1431026833.210139,15.06
1431026835.212821,15.12
1431026837.211671,15.15
1431026839.210398,15.20
1431026841.209066,15.31
1431026843.211929,15.38
1431026845.210734,15.16
1431026847.213456,15.20
1431026849.212272,15.20
1431026851.211028,15.30
1431026853.209823,15.40
1431026855.212570,15.19
1431026857.211353,15.41
1431026859.214306,15.22
1431026861.213038,15.36
1431026863.211701,15.32
1431026865.214551,15.36
1431026867.213338,15.01
1431026869.211997,15.25
1431026871.210810,15.31
1431026873.213661,15.23
1431026875.212440,15.36
1431026877.211204,15.12
1431026879.214161,15.24
1431026881.212785,15.28
1431026883.215476,15.26
1431026885.214286,15.32
1431026887.213213,15.40
1431026889.211839,15.16
1431026891.214600,15.44
1431026893.213378,15.29
1431026895.216267,15.37
1431026897.215059,15.36
1431026899.213799,15.51
1431026901.216581,15.20
1431026903.215352,15.39
1431026905.218100,15.27
1431026907.216943,15.30
1431026909.215683,15.34
1431026911.214481,15.10
1431026913.217245,15.23
1431026915.215998,15.27
1431026917.218922,15.28
1431026919.217657,15.35
1431026921.216341,15.31
1431026923.215091,15.39
1431026925.218021,15.25
1431026927.216737,15.33
1431026929.219657,15.37
1431026931.218359,15.16
1431026933.217053,15.25
1431026935.219736,15.26
1431026937.218829,15.43
1431026939.221446,15.29
1431026941.220334,15.44
1431026943.218966,15.44
1431026945.217906,15.31
1431026947.220637,15.32
1431026949.219372,15.38
1431026951.222132,15.26
1431026953.221012,15.25
1431026955.219735,15.50
1431026957.222424,15.40
1431026959.221262,15.40
1431026961.224127,15.42
1431026963.222888,15.28
1431026965.221635,15.40
1431026967.220342,15.37
1431026969.219078,15.40
1431026971.222060,15.32
1431026973.224688,15.45
1431026975.223606,15.49
1431026977.222312,15.41
1431026979.224990,15.42
1431026981.223894,15.62
1431026983.222599,15.43
1431026985.225377,15.50
1431026987.224280,15.41
1431026989.222937,15.52
1431026991.225906,15.39
1431026993.224700,15.41
1431026995.227427,15.48
1431026997.226281,15.50
1431026999.224960,15.29
1431027001.223627,15.35
1431027003.226409,15.50
1431027005.225231,15.67
1431027007.228018,15.58
1431027009.226769,15.47
1431027011.229669,15.47
1431027013.228298,15.64
1431027015.227125,15.35
1431027017.225938,15.69
1431027019.228818,15.77
1431027021.227548,15.59
1431027023.226334,15.92
1431027025.229092,15.59
1431027027.227921,15.65
1431027029.226642,15.74
1431027031.229463,15.64
1431027033.228208,15.63
1431027035.230941,15.58
1431027037.229903,15.90
1431027039.228512,15.63
1431027041.231391,15.73
1431027043.230119,15.57
1431027045.232857,15.66
